episode,episode reward
1,-369
2,100
3,-418
4,-348
5,-403
6,-393
7,-361
8,-322
9,100
10,-430
11,-410
12,-401
13,-372
14,-396
15,-388
16,-394
17,-406
18,97
19,-202
20,94
21,-194
22,99
23,100
24,100
25,90
26,-206
27,100
28,100
29,100
30,100
31,100
32,-215
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,99
47,100
48,100
49,-210
50,-205
51,99
52,100
53,-332
54,100
55,-408
56,-254
57,97
58,98
59,98
60,-390
61,95
62,88
63,98
64,92
65,98
66,94
67,99
68,98
69,95
70,93
71,-334
72,99
73,100
74,100
75,100
76,100
77,-196
78,100
79,100
80,100
81,99
82,-200
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,-208
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,-206
101,100
102,99
103,100
104,100
105,100
106,100
107,93
108,-35
109,100
110,100
111,-211
112,-233
113,-237
114,-231
115,-255
116,-244
117,-244
118,-248
119,-246
120,-245
121,-237
122,-244
123,-234
124,-223
125,-233
126,-219
127,-221
128,-192
129,72
130,100
131,100
132,-52
133,98
134,-233
135,96
136,98
137,99
138,100
139,99
140,99
141,100
142,100
143,100
144,97
145,100
146,98
147,97
148,86
149,98
150,99
151,98
152,100
153,99
154,98
155,100
156,100
157,100
158,99
159,91
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,98
172,100
173,92
174,100
175,55
176,100
177,31
178,98
179,96
180,49
181,100
182,88
183,91
184,74
185,93
186,98
187,96
188,99
189,94
190,100
191,100
192,98
193,99
194,100
195,81
196,100
197,100
198,87
199,100
200,100
201,100
202,98
203,99
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,99
216,97
217,96
218,100
219,100
220,97
221,96
222,100
223,100
224,100
225,99
226,100
227,100
228,100
229,99
230,100
231,100
232,100
233,100
234,100
235,98
236,97
237,100
238,100
239,99
240,100
241,100
242,100
243,100
244,99
245,100
246,98
247,98
248,100
249,98
250,100
251,100
252,100
253,99
254,99
255,100
256,100
257,100
258,99
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,-202
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,99
284,100
285,99
286,99
287,100
288,100
289,100
290,100
291,100
292,100
293,98
294,100
295,99
296,99
297,100
298,99
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,65
308,100
309,100
310,98
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,99
322,100
323,100
324,99
325,100
326,99
327,98
328,100
329,98
330,99
331,97
332,100
333,99
334,98
335,100
336,100
337,99
338,99
339,99
340,100
341,100
342,94
343,99
344,100
345,100
346,100
347,100
348,98
349,100
350,100
351,100
352,100
353,98
354,99
355,100
356,99
357,97
358,100
359,98
360,99
361,99
362,94
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,99
371,99
372,100
373,96
374,100
375,100
376,96
377,94
378,100
379,100
380,100
381,93
382,91
383,100
384,100
385,100
386,97
387,100
388,100
389,100
390,99
391,100
392,100
393,100
394,99
395,100
396,100
397,100
398,100
399,94
400,99
401,99
402,99
403,100
404,100
405,99
406,99
407,100
408,100
409,100
410,100
411,100
412,99
413,99
414,100
415,100
416,100
417,100
418,100
419,99
420,100
421,100
422,100
423,100
424,98
425,99
426,100
427,100
428,100
429,99
430,100
431,100
432,100
433,100
434,100
435,100
436,100
437,99
438,100
439,100
440,99
441,97
442,100
443,100
444,98
445,100
446,100
447,99
448,99
449,100
450,100
451,100
452,100
453,100
454,100
455,99
456,100
457,98
458,100
459,99
460,99
461,100
462,100
463,100
464,99
465,100
466,95
467,98
468,100
469,99
470,100
471,100
472,100
473,97
474,98
475,100
476,100
477,67
478,100
479,100
480,87
481,99
482,100
483,100
484,100
485,100
486,100
487,100
488,100
489,97
490,100
491,99
492,94
493,100
494,100
495,96
496,91
497,99
498,95
499,100
500,100
501,100
502,100
503,100
504,100
505,100
506,94
507,100
508,100
509,88
510,61
511,100
512,74
513,100
514,100
515,97
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,100
526,100
527,100
528,100
529,100
530,99
531,100
532,100
533,100
534,100
535,100
536,100
537,100
538,100
539,100
540,100
541,100
542,100
543,100
544,100
545,100
546,100
547,100
548,100
549,100
550,100
551,100
552,100
553,100
554,100
555,100
556,100
557,100
558,100
559,100
560,85
561,100
562,100
563,100
564,100
565,100
566,100
567,100
568,100
569,100
570,100
571,100
572,100
573,99
574,100
575,100
576,100
577,100
578,100
579,100
580,100
581,100
582,100
583,100
584,100
585,100
586,100
587,100
588,96
589,100
590,100
591,100
592,100
593,100
594,100
595,100
596,100
597,100
598,100
599,99
600,100
601,100
602,100
603,100
604,100
605,100
606,100
607,100
608,100
609,100
610,100
611,-208
612,100
613,100
614,100
615,100
616,100
617,99
618,100
619,100
620,100
621,100
622,100
623,100
624,100
625,100
626,97
627,100
628,100
629,97
630,99
631,100
632,100
633,99
634,100
635,100
636,100
637,100
638,99
639,100
640,100
641,100
642,100
643,99
644,100
645,100
646,100
647,99
648,100
649,100
650,100
651,100
652,100
653,100
654,100
655,100
656,99
657,100
658,84
659,71
660,100
661,100
662,100
663,100
664,100
665,100
666,100
667,100
668,-25
669,100
670,100
671,100
672,100
673,-206
674,100
675,100
676,100
677,100
678,100
679,93
680,100
681,-216
682,-67
683,100
684,100
685,100
686,100
687,100
688,100
689,100
690,100
691,100
692,100
693,100
694,100
695,99
696,100
697,100
698,100
699,100
700,100
701,100
702,100
703,100
704,100
705,100
706,100
707,100
708,100
709,100
710,100
711,100
712,100
713,100
714,100
715,-11
716,100
717,100
718,100
719,100
720,100
721,100
722,100
723,100
724,100
725,100
726,95
727,98
728,100
729,100
730,100
731,99
732,100
733,88
734,94
735,99
736,96
737,100
738,100
739,100
740,98
741,100
742,100
743,100
744,100
745,100
746,100
747,97
748,100
749,100
750,98
751,100
752,100
753,100
754,100
755,100
756,100
757,100
758,100
759,100
760,100
761,100
762,100
763,100
764,100
765,100
766,-207
767,100
768,100
769,100
770,100
771,100
772,100
773,100
774,100
775,98
776,99
777,77
778,97
779,99
780,100
781,100
782,100
783,100
784,100
785,100
786,100
787,100
788,100
789,99
790,100
791,100
792,100
793,100
794,100
795,100
796,100
797,100
798,100
799,100
800,100
801,100
802,100
803,100
804,100
805,100
806,100
807,99
808,100
809,100
810,100
811,100
812,100
813,100
814,-208
815,100
816,98
817,100
818,100
819,100
820,100
821,100
822,100
823,100
824,100
825,100
826,100
827,100
828,100
829,100
830,99
831,100
832,98
833,100
834,97
835,98
836,100
837,99
838,92
839,100
840,100
841,100
842,100
843,90
844,100
845,100
846,100
847,100
848,100
849,100
850,100
851,100
852,100
853,100
854,100
855,100
856,95
857,100
858,100
859,100
860,100
861,100
862,100
863,100
864,99
865,100
866,100
867,89
868,100
869,100
870,100
871,100
872,100
873,98
874,99
875,96
876,100
877,100
878,99
879,100
880,100
881,-33
882,100
883,86
884,100
885,100
886,100
887,100
888,100
889,100
890,99
891,99
892,99
893,100
894,100
895,100
896,100
897,100
898,99
899,100
900,100
901,99
902,99
903,99
904,100
905,99
906,55
907,100
908,100
909,100
910,100
911,99
912,100
913,100
914,100
915,100
916,100
917,100
918,100
919,100
920,100
921,100
922,100
923,100
924,99
925,100
926,100
927,100
928,100
929,100
930,100
931,100
932,100
933,100
934,100
935,100
936,100
937,100
938,100
