x,y
1,-17.20544639540502
2,-15.89174693936077
3,-17.46586151508468
4,-15.694610670665002
5,-17.164940037566268
6,-16.592318308134946
7,-15.076195036537822
8,-17.121136758065173
9,-18.231309344820133
10,-15.501654246324867
11,-17.123797987928054
12,-17.67185452217825
13,-16.605245699740827
14,-16.940536715091547
15,-16.914132003378317
16,-16.66643194574613
17,-16.317583554039334
18,-17.733491409590858
19,-17.32349542470433
20,-16.69493754888962
21,-17.11115806363662
22,-15.987988630197204
23,-16.813752949674
24,-16.79968844588149
25,-16.85615252190419
26,-16.054551711553877
27,-15.680139886400939
28,-16.36389415948689
29,-17.749268924762475
30,-15.52070140781937
31,-15.800098134591112
32,-15.594544483754348
33,-16.592657561139074
34,-17.003001975695128
35,-16.507805509323507
36,-16.81077456794641
37,-16.793242291143123
38,-17.880286572847965
39,-15.695319140772638
40,-17.590054230357666
41,-17.817479789649283
42,-16.4763160962696
43,-16.359404207709876
44,-17.081317460108096
45,-17.409312650435574
46,-17.642433943437435
47,-16.24815603423415
48,-17.393894317090083
49,-16.101504325375522
50,-4.1898421148949385
51,-4.7503849885128115
52,-4.733891285093302
53,-4.374603977772897
54,-4.505518818962916
55,-4.572045775389244
56,-4.488926468170996
57,-4.677311410584863
58,-4.828618996900788
59,-4.363052632347048
60,-4.237105863351118
61,-4.780148706018205
62,-4.233274091541132
63,-4.580447525066093
64,-4.7326746694765385
65,-4.824678437785417
66,-4.877789392294411
67,-4.434705514806532
68,-4.608920985270803
69,-4.70617925340991
70,-4.401418470886825
71,-4.4005620839828685
72,-4.34013834542865
73,-4.758841708047718
74,-4.324301087176169
75,-4.469310137586419
76,-4.294431058566118
77,-4.396760900902357
78,-4.826727739440063
79,-4.701769152913578
80,-4.523046856222157
81,-4.15214095700244
82,-4.788222469661037
83,-4.508421882347078
84,-4.486790517795816
85,-4.604459697276904
86,-4.908837799809319
87,-4.543291726204892
88,-4.350704408896851
89,-4.989839065170872
90,-4.5089469569024025
91,-4.533017234129835
92,-4.272051934483086
93,-4.928578329365376
94,-4.639310258930635
95,-4.056470470174287
96,-4.519197214668056
97,-4.360556798971149
98,-4.199113648200745
99,-4.6312279687282825
100,-4.502013007717896
101,-4.11562026944614
102,-4.377551172269543
103,-4.743758150725434
104,-4.405028343095031
105,-4.542194837299359
106,-5.097438455323092
107,-4.952174661275058
108,-4.4334409190931545
109,-4.474906409769268
110,-4.794019040413104
111,-4.555299555996677
112,-4.730271610550529
113,-4.817159148263002
114,-5.057697840356155
115,-5.10113521102032
116,-4.649209039641323
117,-4.320746515157207
118,-4.552464506926103
119,-4.578539089242703
120,-4.561452997473638
121,-4.703022750327674
122,-3.8170124693027447
123,-4.563251671318413
124,-4.306211182007927
125,-4.156055471312582
126,-4.008526928584561
127,-4.209568447162181
128,-4.281943284947252
129,-4.524946197497007
130,-4.597056481438288
131,-3.9568074464493685
132,-3.962314610896413
133,-4.634347945623189
134,-4.514961792121166
135,-4.234672153047797
136,-5.092077082709457
137,-4.94351127291641
138,-4.518151995260332
139,-4.475567311290526
140,-4.885960267458037
141,-3.9427325448346706
142,-4.61940686650558
143,-4.194621115724251
144,-4.390625331697178
145,-4.705144143590138
