x,y
1,-4113.924447001733
2,-4000.063446611112
3,-3940.531733491741
4,-4136.115513856921
5,-3903.1747785798198
6,-3761.5454555216106
7,-3932.6022701602037
8,-3962.5780568626096
9,-3913.0415007969355
10,-3999.0952623295416
11,-4093.244348871491
12,-3833.2218354476136
13,-3996.4564384442447
14,-3835.6675153013816
15,-2140.732404499045
16,-2058.7818271184865
17,-2299.238522466101
18,-1971.9853409212444
19,-2169.6533207152297
20,-1918.7839915021298
21,-2416.760041530169
22,-2659.9445219244794
23,-2558.1331375026252
24,-2287.3566971016307
25,-2147.593723654416
26,-1674.9108900057633
27,-1095.2780758165152
28,-1751.342532998924
29,-1860.0196335081048
30,-1238.407119263535
31,-1988.4991095924313
32,-1380.4062322238208
33,-258.17626544238874
34,-642.0286263666577
35,-763.5270869105002
36,-122.61858885832552
37,-368.7100867553723
38,-126.69057185825116
39,-239.18759641279686
40,-248.4676654260554
41,-229.92501595802463
42,-481.0029845066757
43,-351.60661028861216
44,-240.57079169026704
45,-3.088264356571477
46,-2.9386750249966753
47,-560.9668488467536
48,-329.7806044940838
49,-121.28027626597024
50,-232.64561477154052
51,-475.2545958519452
52,-4.087180127057437
53,-124.35328887894778
54,-248.88606994803573
55,-126.08264420757646
56,-247.80611768635575
57,-123.76559122852069
58,-254.17677246384235
59,-232.90102249006347
60,-259.87961529801726
61,-237.5160107746558
62,-248.84075182892002
63,-130.1165811600319
64,-243.65178237454955
65,-10.968795777812135
66,-10.900761573056549
67,-240.949519209932
68,-345.64533969892767
69,-348.7416211891479
70,-242.24084374996687
71,-253.24330011125187
72,-459.7430454989789
73,-137.15915004238192
74,-418.0984468744655
75,-154.09812200064408
76,-515.4064312509105
77,-652.5677205838621
78,-758.3165663684649
79,-652.9763260058514
80,-898.5978999529649
81,-909.8343064647971
82,-666.49236421553
83,-1141.4692557281708
84,-1150.957033265077
85,-787.0014537832998
86,-658.3057121868031
87,-792.9641415456608
88,-777.6066435703128
89,-903.2135521545704
90,-910.3372984093998
91,-784.4029884305559
92,-275.7789660188424
93,-410.7726759067223
94,-528.8254857525752
95,-754.7005690920196
96,-523.1148835395137
97,-524.1229849347587
98,-530.9963509249502
99,-1141.3940007017532
100,-661.2402785506921
101,-290.0575879138676
102,-537.4444402734781
103,-774.7964312796333
104,-771.2534593334836
105,-764.3285662172686
106,-658.5782037779246
107,-917.2418424110314
108,-771.5467344124751
109,-411.61475912754173
110,-764.7405063532938
111,-1016.8243109534164
112,-907.1664572596464
113,-1148.8755597949955
114,-756.2115103326734
115,-878.4023826551868
116,-992.6926388253903
117,-647.5118889074322
118,-403.65594797730745
119,-332.4995908270068
120,-779.9883246674219
121,-270.000153777538
122,-275.90273623703143
123,-404.1266576103805
124,-768.2524723730618
125,-760.7463483664774
126,-277.21105996854084
127,-803.0926889516054
128,-283.1017113843288
129,-276.2174683757894
130,-629.6612882773067
131,-1147.4383427135836
132,-662.3355197865161
133,-924.0474357810432
134,-1404.0844977769002
135,-356.611535177249
136,-450.23927653205203
137,-397.3890085400737
138,-127.94193935043846
139,-114.68227000262179
140,-119.35882287072633
141,-242.0240345090325
142,-124.12865574739732
143,-382.5575227968506
144,-1129.6632887386522
145,-274.08392234241785
146,-748.5017200049625
147,-917.6891139676068
148,-781.1585520045414
149,-1275.3537893135822
150,-1043.9552235593494
151,-1123.546756891742
152,-640.5904629795353
153,-254.18614315289636
154,-523.1401678679565
155,-524.0286444959837
156,-1033.897823843373
157,-148.08596827869883
158,-517.9794048873629
159,-909.9274387586098
160,-491.4791577767284
161,-792.843543672449
162,-789.9292142874714
163,-658.397880543671
164,-404.59480939039395
165,-862.999730227316
166,-633.8796549975834
167,-1155.9796991644102
168,-887.113319972623
169,-411.373976483322
170,-928.5346821900051
171,-251.59080038209558
172,-1419.6993783117334
173,-1143.2007167554884
174,-1029.996537725286
175,-1433.7287593870412
176,-244.25495350556406
177,-393.6048283619382
178,-1054.530922721335
179,-150.298509034965
180,-408.60511044456075
181,-1068.3053650081072
